"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"Pocillopora_acuta_HIv2___RNAseq.g6351.t1",1780.06230928926,-6.55617592545446,0.68064184709849,2.76863857555887e-24,4.00455883568835e-20
"Pocillopora_acuta_HIv2___RNAseq.g28575.t1a",2844.3905409903,17.5525503330317,3.97246411680586,4.35406763385338e-20,3.14886171280276e-16
"Pocillopora_acuta_HIv2___RNAseq.g27038.t1",1882.71411858623,16.7964263098524,3.76680294324584,1.66847342826853e-19,8.04426655549201e-16
"Pocillopora_acuta_HIv2___RNAseq.g2165.t1",1608.73918294661,16.5688342698889,3.75190693780324,3.90714789594266e-19,1.22204424749923e-15
"Pocillopora_acuta_HIv2___TS.g18104.t1",1967.6090074664,16.8137638155343,3.796365645033,4.22443393079104e-19,1.22204424749923e-15
"Pocillopora_acuta_HIv2___RNAseq.g14330.t3",2168.32101516159,-16.5174777047953,3.92560443008904,6.6610892713285e-19,1.60576658700826e-15
"Pocillopora_acuta_HIv2___RNAseq.g14090.t1",2027.22358063107,-16.436077968097,3.92208641760963,1.09543000553947e-18,2.11271310568207e-15
"Pocillopora_acuta_HIv2___RNAseq.g14025.t1",2533.20105807112,-16.6014506866338,3.96237022576545,1.1685360097799e-18,2.11271310568207e-15
"Pocillopora_acuta_HIv2___RNAseq.g3832.t1",4681.36281946371,12.4923100907686,2.34800676150619,5.39932606744635e-18,8.2804902082135e-15
"Pocillopora_acuta_HIv2___RNAseq.g8006.t1",1858.29368115358,-16.1656027263467,3.91968160338227,5.74180016147897e-18,8.2804902082135e-15
"Pocillopora_acuta_HIv2___RNAseq.g10378.t1",1200.09323446445,16.1580082935651,3.73275266016442,6.29738608202078e-18,8.2804902082135e-15
"Pocillopora_acuta_HIv2___RNAseq.g14253.t1",1084.62610850225,15.9449806215647,3.72600215063653,1.43614740174921e-17,1.73103633490838e-14
"Pocillopora_acuta_HIv2___RNAseq.g25431.t1",3378.81007684284,-11.7349379941434,1.97733044176679,1.70268399501024e-17,1.81069180233287e-14
"Pocillopora_acuta_HIv2___RNAseq.11056_t",1574.73889068724,-15.9358651331766,3.89078629652133,1.75260545026688e-17,1.81069180233287e-14
